SetNumber,PartID,Quantity,Colour,Category,DesignID,PartName,ImageURL,SetCount
"4288-1",234626,4,"Black","System",2346,"Tyre High Narrow 30.4 X 7","https://www.lego.com/service/bricks/5/2/234626",38
"4288-1",300126,1,"Black","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300126",573
"4288-1",300326,4,"Black","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300326",553
"4288-1",300426,6,"Black","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300426",767
"4288-1",300526,4,"Black","System",3005,"Brick 1X1","https://www.lego.com/service/bricks/5/2/300526",467
"4288-1",300926,2,"Black","System",3009,"Brick 1X6","https://www.lego.com/service/bricks/5/2/300926",294
"4288-1",301026,6,"Black","System",3010,"Brick 1X4","https://www.lego.com/service/bricks/5/2/301026",508
"4288-1",348326,4,"Black","System",3483,"Tyre Low Narrow 17 Mm","https://www.lego.com/service/bricks/5/2/348326",116
"4288-1",400626,1,"Black","System",4006,"Screwdriver/Spanner","https://www.lego.com/service/bricks/5/2/400626",261
"4288-1",452226,1,"Black","System",4522,"Hammer","https://www.lego.com/service/bricks/5/2/452226",154
"4288-1",9341,1,"Bright Blue","System",73200,"Mini Body Lowerpart Blue","https://www.lego.com/service/bricks/5/2/9341",417
"4288-1",300123,2,"Bright Blue","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300123",342
"4288-1",300223,4,"Bright Blue","System",3002,"Brick 2X3","https://www.lego.com/service/bricks/5/2/300223",250
"4288-1",300323,4,"Bright Blue","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300323",358
"4288-1",300423,16,"Bright Blue","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300423",482
"4288-1",300523,12,"Bright Blue","System",3005,"Brick 1X1","https://www.lego.com/service/bricks/5/2/300523",263
"4288-1",300823,2,"Bright Blue","System",3008,"Brick 1X8","https://www.lego.com/service/bricks/5/2/300823",152
"4288-1",300923,2,"Bright Blue","System",3009,"Brick 1X6","https://www.lego.com/service/bricks/5/2/300923",228
"4288-1",301023,14,"Bright Blue","System",3010,"Brick 1X4","https://www.lego.com/service/bricks/5/2/301023",302
"4288-1",302023,4,"Bright Blue","System",3020,"Plate 2X4","https://www.lego.com/service/bricks/5/2/302023",404
"4288-1",302123,2,"Bright Blue","System",3021,"Plate 2X3","https://www.lego.com/service/bricks/5/2/302123",299
"4288-1",302223,4,"Bright Blue","System",3022,"Plate 2X2","https://www.lego.com/service/bricks/5/2/302223",409
"4288-1",303023,2,"Bright Blue","System",3030,"Plate 4X10","https://www.lego.com/service/bricks/5/2/303023",39
"4288-1",303223,1,"Bright Blue","System",3032,"Plate 4X6","https://www.lego.com/service/bricks/5/2/303223",84
"4288-1",303423,4,"Bright Blue","System",3034,"Plate 2X8","https://www.lego.com/service/bricks/5/2/303423",130
"4288-1",362223,6,"Bright Blue","System",3622,"Brick 1X3","https://www.lego.com/service/bricks/5/2/362223",198
"4288-1",371023,4,"Bright Blue","System",3710,"Plate 1X4","https://www.lego.com/service/bricks/5/2/371023",375
"4288-1",383223,2,"Bright Blue","System",3832,"Plate 2X10","https://www.lego.com/service/bricks/5/2/383223",63
"4288-1",393723,4,"Bright Blue","System",3937,"Rocker Bearing 1X2","https://www.lego.com/service/bricks/5/2/393723",57
"4288-1",621223,1,"Bright Blue","System",6212,"Brick 4X10","https://www.lego.com/service/bricks/4/2/621223",13
"4288-1",4243815,2,"Bright Blue","System",3031,"Plate 4X4","https://www.lego.com/service/bricks/5/2/4243815",122
"4288-1",4558606,2,"Bright Blue","System",2357,"Brick Corner 1X2X2","https://www.lego.com/service/bricks/5/2/4558606",49
"4288-1",235721,2,"Bright Red","System",2357,"Brick Corner 1X2X2","https://www.lego.com/service/bricks/5/2/235721",111
"4288-1",300121,1,"Bright Red","System",3001,"Brick 2X4","https://www.lego.com/service/bricks/5/2/300121",466
"4288-1",300221,2,"Bright Red","System",3002,"Brick 2X3","https://www.lego.com/service/bricks/5/2/300221",311
"4288-1",300321,4,"Bright Red","System",3003,"Brick 2X2","https://www.lego.com/service/bricks/5/2/300321",454
"4288-1",300421,12,"Bright Red","System",3004,"Brick 1X2","https://www.lego.com/service/bricks/5/2/300421",635
"4288-1",300521,6,"Bright Red","System",3005,"Brick 1X1","https://www.lego.com/service/bricks/5/2/300521",402
"4288-1",300921,2,"Bright Red","System",3009,"Brick 1X6","https://www.lego.com/service/bricks/5/2/300921",301
"4288-1",301021,10,"Bright Red","System",3010,"Brick 1X4","https://www.lego.com/service/bricks/5/2/301021",427
"4288-1",303921,4,"Bright Red","System",3039,"Roof Tile 2X2/45Â°","https://www.lego.com/service/bricks/5/2/303921",249
"4288-1",329721,4,"Bright Red","System",3297,"Roof Tile 3X4/25Â°","https://www.lego.com/service/bricks/5/2/329721",50
"4288-1",329821,6,"Bright Red","System",3298,"Roof Tile 2X3/25Â°","https://www.lego.com/service/bricks/5/2/329821",133
"4288-1",329921,2,"Bright Red","System",3299,"Ridged Tile 2X4/25Â°","https://www.lego.com/service/bricks/5/2/329921",38
"4288-1",330021,2,"Bright Red","System",3300,"Ridged Tile 2X2/25Â°","https://www.lego.com/service/bricks/5/2/330021",43
"4288-1",362221,4,"Bright Red","System",3622,"Brick 1X3","https://www.lego.com/service/bricks/5/2/362221",262
"4288-1",366021,4,"Bright Red","System",3660,"Roof Tile 2X2/45Â° Inv.","https://www.lego.com/service/bricks/5/2/366021",207
"4288-1",366521,2,"Bright Red","System",3665,"Roof Tile 1X2 Inv.","https://www.lego.com/service/bricks/5/2/366521",215
"4288-1",385321,2,"Bright Red","System",3853,"Window Frame 4X3","https://www.lego.com/service/bricks/5/2/385321",23
